买方客户,得分
999800021591SR,36
999800012429SR,24
999800048607SR,60
999800010967SR,54
999800024171SR,60
999800025827SR,54
999800046063SR,54
999800011433SR,48
999800047713SR,36
999800028429SR,24
999800002438SR,60
999800037851SR,60
999800006930CF,48
999800003891SR,42
999800045562SR,42
999800032996CF,55.8
999800012947CF,19.8
999800015908SR,42
999800025567CF,55.8
999800026108SR,24
999800020193SR,24
999800014671SR,48
999800036771SR,24
999800009773SR,42
999800032595CF,31.8
999800038123SR,42
999800019894SR,60
999800037576SR,42
999800045221SR,54
999800022930SR,54
999800017742SR,54
999800010507SR,36
999800018168CF,52.2
999800030486SR,54
999800012582SR,54
999800001510SR,36
999800029873CF,27.6
999800009991SR,54
999800026148CF,36
999800039566SR,24
999800027803SR,60
999800025151SR,60
999800034099SR,42
999800014550SR,60
999800010869SR,24
999800028974SR,42
999800012562SR,60
999800038745CF,48
999800030484CF,19.8
999800006833CF,52.2
999800015917SR,24
999800034811SR,36
999800019947SR,60
999800040964SR,24
999800041081SR,36
999800033412SR,36
999800048597SR,42
999800018964SR,60
999800019833SR,60
999800021166SR,60
999800006312SR,48
999800044014CF,55.8
999800040852SR,54
999800035468SR,42
999800004512SR,60
999800025351SR,42
999800004454SR,24
999800022495SR,60
999800019504SR,60
999800040693CF,55.8
999800034604SR,60
999800009473CF,55.8
999800031899SR,60
999800023687SR,60
999800019724SR,24
999800036388SR,48
999800046979CF,27.6
999800048415CF,55.8
999800006340SR,36
999800001371SR,24
999800026115SR,60
999800009413SR,60
999800048680SR,60
999800043917SR,60
999800010614SR,36
999800028337CF,55.8
999800047084SR,60
999800030970SR,42
999800019324SR,24
999800032442CF,39.6
999800038286CF,55.8
999800016599CF,55.8
999800010764SR,42
999800021119SR,54
999800047867SR,60
999800031676SR,42
999800014875SR,60
999800009237SR,42
999800037281CF,55.8
999800000710SR,54
999800007869CF,52.2
999800026843SR,42
999800047598SR,36
999800042105SR,60
999800002562SR,60
999800020153SR,42
999800005705CF,55.8
999800034139SR,54
999800016114SR,60
999800034830SR,42
999800027142SR,24
999800016811SR,42
999800010759SR,60
999800046525CF,43.8
999800017135SR,60
999800043573SR,42
999800011470SR,42
999800025575CF,55.8
999800003197SR,42
999800023179SR,42
999800015583SR,48
999800047090SR,60
999800037569SR,60
999800041497SR,24
999800042024SR,60
999800023387SR,60
999800017064SR,60
999800015198SR,42
999800034941SR,24
999800024695SR,60
999800013709SR,36
999800017148SR,54
999800005090CF,55.8
999800041957CF,55.8
999800014202SR,54
999800008849SR,36
999800034343CF,55.8
999800024197SR,54
999800007356SR,36
999800044816CF,43.8
999800044734SR,36
999800035975SR,54
999800021810SR,42
999800001745SR,42
999800034693SR,60
999800026488SR,24
999800019973SR,30
999800017880CF,43.8
999800006641SR,54
999800045940SR,54
999800045417SR,60
999800004781SR,60
999800000898SR,60
999800028965SR,24
999800015048SR,48
999800002012CF,52.2
999800031505SR,24
999800017721SR,60
999800022167SR,42
999800001653SR,54
999800005005CF,43.8
999800011431CF,48
999800011211SR,54
999800012289SR,42
999800010763SR,60
999800019919CF,55.8
999800004934CF,43.8
999800033456SR,36
999800009727SR,54
999800025729SR,60
999800047703SR,60
999800019469SR,54
999800003104SR,60
999800027384SR,0
999800030527SR,60
999800043468SR,42
999800043630SR,42
999800009544SR,0
999800008565SR,36
999800033832SR,42
999800000081SR,24
999800012954SR,48
999800011087SR,54
999800016494SR,24
999800024626SR,60
999800043563SR,54
999800044960SR,60
999800042385SR,24
999800025650SR,60
999800007518SR,42
999800042658SR,42
999800033374SR,54
999800009733SR,24
999800015968SR,42
999800047644SR,60
999800043412SR,48
999800001140SR,42
999800009890SR,54
999800011081CF,48
999800026714SR,24
999800014746SR,42
999800013354SR,42
999800025428SR,60
999800000896SR,24
999800015310SR,60
999800002680SR,60
999800040926CF,39.6
999800000016SR,42
999800042925SR,54
999800008008SR,48
999800001014SR,54
999800016201SR,36
999800004978SR,42
999800048940SR,60
999800009998SR,42
999800038388SR,42
999800008016SR,54
999800018583SR,42
999800003010SR,42
999800023216CF,19.8
999800006360CF,52.2
999800033281SR,42
999800041338SR,24
999800045538SR,42
999800017955SR,42
999800008439SR,36
999800001843SR,54
999800033692SR,60
999800045452SR,24
999800046906CF,31.8
999800031693SR,36
999800041256CF,60
999800043753SR,60
999800007982SR,60
999800040729CF,52.2
999800039926CF,24
999800015295SR,42
999800035130SR,54
999800002514CF,31.8
999800035022SR,36
999800036493SR,60
999800014842SR,42
999800048501SR,60
999800005454SR,42
999800035176SR,42
999800031702CF,55.8
999800047636CF,55.8
999800018717SR,42
999800034411SR,42
999800041200SR,60
999800030658SR,24
999800024728SR,60
999800046297CF,55.8
999800018592SR,36
999800000700SR,60
999800043513SR,24
999800043104SR,60
999800023676SR,42
999800007379SR,42
999800019566SR,24
999800027361SR,36
999800008381SR,60
999800036959SR,60
999800044736SR,36
999800023602SR,54
999800031611SR,60
999800026232SR,42
999800009980SR,36
999800040955CF,52.2
999800047730SR,60
999800027723SR,42
999800027173SR,36
999800017629SR,60
999800013336CF,36
999800018638CF,36
999800047796SR,42
999800014989SR,60
999800024608CF,52.2
999800046820SR,48
999800044160SR,48
999800020229SR,60
999800026174SR,42
999800020943CF,55.8
999800037406SR,36
999800044932SR,60
999800007468SR,42
999800026493SR,36
999800014491SR,42
999800010090SR,24
999800002454SR,60
999800046793SR,24
999800020827SR,60
999800008258SR,60
999800038501SR,60
999800003047SR,60
999800022003SR,60
999800041889SR,42
999800007142SR,54
999800026471SR,60
999800033992SR,60
999800031734SR,36
999800000884SR,60
999800047789SR,54
999800025199SR,36
999800022216CF,48
999800026006SR,54
999800024846SR,60
999800005440CF,52.2
999800015029CF,52.2
999800028779SR,60
999800044201CF,55.8
999800012103SR,60
999800034052SR,42
999800040727SR,36
999800004475SR,42
999800020796SR,54
999800045968SR,60
999800031422CF,60
999800006773CF,43.8
999800027247SR,54
999800043250CF,43.8
999800014685SR,60
999800026226SR,60
999800013446CF,40.2
999800046101SR,60
999800030041SR,24
999800011692SR,36
999800048416CF,31.8
999800024312CF,52.2
999800021054CF,43.8
999800031625SR,60
999800043046SR,18
999800036260CF,55.8
999800034151SR,42
999800048320SR,30
999800042155CF,36
999800001776SR,60
999800017636CF,39.6
999800048698CF,43.8
999800044713SR,60
999800023212SR,42
999800044362SR,36
999800025607SR,42
999800018549SR,54
999800039855SR,42
999800042757SR,54
999800005143SR,36
999800018334SR,48
999800017341CF,48
999800047843SR,48
999800025812SR,60
999800029638SR,60
999800042108CF,43.8
999800042571SR,42
999800022227SR,48
999800037499SR,60
999800019732SR,60
999800014061CF,48
999800017637SR,24
999800028800SR,42
999800010629SR,60
999800005123CF,48
999800047407CF,48
999800028835SR,54
999800012854SR,36
999800030719SR,60
999800019258CF,48
999800036114SR,54
999800042179CF,43.8
999800006809SR,36
999800004183CF,39.6
999800041861SR,24
999800043925SR,60
999800045257CF,48
999800032399SR,54
999800035873CF,31.8
999800002433SR,60
999800037786SR,60
999800006480SR,42
999800042882CF,31.8
999800044773SR,36
999800017539SR,36
999800045584SR,42
999800001342SR,30
999800026378SR,60
999800035745SR,60
999800047171SR,30
999800042842SR,60
999800044490SR,42
999800022634SR,0
999800013071SR,42
999800023625SR,54
999800046903SR,60
999800007976SR,54
999800005490SR,42
999800026937SR,60
999800002192CF,43.8
999800002371CF,55.8
999800021336SR,24
999800005620SR,60
999800037616CF,43.8
999800023223SR,60
999800002814CF,43.8
999800029033SR,42
999800026076SR,0
999800038310SR,42
999800017145SR,60
999800018940CF,19.8
999800016498CF,55.8
999800023835SR,24
999800031229SR,42
999800045610SR,54
999800022203SR,36
999800022084SR,60
999800014293SR,60
999800035149SR,60
999800031617CF,36
999800023491CF,55.8
999800048240SR,60
999800012689CF,36
999800006592CF,43.8
999800005695SR,42
999800012963SR,60
999800025333SR,60
999800026770SR,42
999800002088CF,39.6
999800026321SR,24
999800028801SR,42
999800033151SR,54
999800004997SR,60
999800030693SR,60
999800031577SR,55.5862
999800041295CF,55.8
999800019310SR,42
999800044767SR,54
999800042580SR,54
999800021164SR,42
999800005282CF,19.8
999800042306SR,30
999800036515SR,42
999800034892SR,54
999800029506SR,24
999800017962SR,60
999800043866SR,36
999800040137SR,18
999800047773CF,36
999800022650CF,43.8
999800045640SR,24
999800047245SR,42
999800005320CF,31.8
999800048781SR,36
999800027194SR,42
999800029615SR,54
999800018305SR,54
999800022545SR,48
999800041452SR,42
999800035800SR,24
999800025255SR,24
999800020020SR,24
999800017495SR,54
999800008477SR,54
999800040755SR,36
999800034199CF,55.8
999800026964SR,48
999800035531SR,60
999800007999CF,55.8
999800026141CF,19.8
999800023567CF,43.8
999800038295SR,54
999800001098SR,42
999800025423SR,54
999800002474SR,60
999800027900SR,24
999800020138SR,54
999800005402CF,31.8
999800015963CF,48
999800034177CF,40.2
999800008443SR,60
999800005266SR,36
999800024193SR,42
999800010411SR,42
999800015415SR,60
999800005852SR,60
999800032620SR,42
999800020945SR,60
999800010828SR,60
999800014243SR,42
999800002665SR,42
999800045633CF,55.8
999800037402SR,30
999800024522SR,60
999800017727SR,60
999800009554CF,36
999800006239CF,36
999800017165SR,60
999800021088SR,42
999800042498SR,60
999800033941SR,42
999800004003SR,36
999800001833CF,36
999800025895SR,36
999800029009CF,36
999800022210SR,36
999800001285SR,60
999800034495CF,36
999800005665SR,60
999800047363SR,54
999800004739SR,60
999800023655SR,60
999800004027SR,42
999800016802SR,24
999800024782SR,24
999800013680SR,54
999800021428SR,42
999800017906CF,48
999800035140SR,60
999800004404SR,36
999800028060CF,43.8
999800007924SR,24
999800029019SR,60
999800042180CF,31.8
999800035599SR,60
999800029341SR,60
999800040565SR,42
999800031015SR,36
999800031647SR,60
999800019137CF,40.2
999800008796CF,31.8
999800044549CF,55.8
999800002977SR,42
999800016117CF,31.8
999800025530SR,60
999800000386CF,39.6
999800040419SR,42
999800047136SR,36
999800020606SR,60
999800047331SR,60
999800048722SR,48
999800045847SR,36
999800031272SR,60
999800022594SR,60
999800025059SR,42
999800046960CF,55.8
999800028805SR,60
999800002172SR,60
999800040188CF,36
999800017452SR,60
999800011574SR,30
999800002650SR,54
999800044750SR,42
999800028807SR,36
999800047465CF,48
999800028432SR,48
999800024227SR,60
999800024120SR,42
999800043381CF,31.8
999800044656SR,60
999800011613CF,43.8
999800032159SR,36
999800035505SR,42
999800044679CF,36
999800047848SR,60
999800035912SR,60
999800040123SR,60
999800048806SR,54
999800015596SR,60
999800023660SR,60
999800018331SR,60
999800047024SR,60
999800044593SR,60
999800044250SR,42
999800011952SR,36
999800040579SR,18
999800039379SR,60
999800031871SR,54
999800018603SR,54
999800006596SR,42
999800045714SR,54
999800008123CF,55.8
999800023894CF,60
999800023634SR,42
999800034412CF,55.8
999800027119SR,54
999800007046SR,30
999800022041SR,42
999800025027SR,24
999800043471SR,60
999800023513CF,43.8
999800008720SR,42
999800005672CF,48
999800012347SR,42
999800021007SR,24
999800006897SR,60
999800033018CF,31.8
999800030815SR,60
999800003896CF,60
999800024629SR,36
999800035056SR,60
999800038379SR,54
999800011712SR,42
999800014091CF,60
999800015773SR,60
999800008610SR,36
999800027559SR,42
999800035463CF,31.8
999800010721SR,60
999800010709SR,60
999800046306SR,24
999800042094CF,48
999800047307SR,60
999800022119SR,60
999800024998SR,24
999800031158CF,40.2
999800014689SR,42
999800023357CF,39.6
999800010478SR,60
999800000775SR,24
999800040049SR,54
999800017949CF,43.8
999800042202CF,55.8
999800027863SR,24
999800015725SR,24
999800031125SR,60
999800019814SR,60
999800034435SR,36
999800042496CF,60
999800028575SR,42
999800036193CF,55.8
999800009054SR,54
999800042833SR,36
999800009224SR,42
999800045865SR,60
999800015615SR,36
999800035550SR,54
999800029476SR,48
999800040315CF,31.8
999800042092SR,60
999800031548SR,60
999800015047SR,24
999800016214SR,54
999800028347SR,42
999800003442SR,48
999800035043CF,36
999800000880SR,36
999800001611SR,60
999800010419SR,60
999800038635SR,24
999800017777SR,42
999800022598SR,24
999800007551SR,42
999800021823CF,31.8
999800032670SR,24
999800003656SR,60
999800030758SR,42
999800005321SR,60
999800048285SR,60
999800012273SR,60
999800025308SR,24
999800033965SR,60
999800007711SR,54
999800035284CF,24
999800013031SR,60
999800020728CF,55.8
999800039287CF,19.8
999800017847SR,48
999800022324SR,24
999800030330CF,43.8
999800045619SR,36
999800030733SR,60
999800023774SR,60
999800016819CF,36
999800030050SR,60
999800046691CF,19.8
999800014428CF,55.8
999800040836CF,52.2
999800015421SR,60
999800012989SR,60
999800028113SR,60
999800011155SR,48
999800037315CF,55.8
999800043643SR,36
999800013927SR,60
999800032696SR,60
999800048098SR,30
999800040967SR,36
999800023855SR,60
999800025072SR,60
999800036901SR,54
999800000744CF,31.8
999800015044SR,42
999800011404CF,43.8
999800039774SR,60
999800002219SR,36
999800024704SR,60
999800023642SR,60
999800018222SR,42
999800012994SR,60
999800013477CF,43.8
999800047687CF,36
999800039552SR,60
999800042416SR,60
999800031056SR,36
999800026614SR,60
999800023740CF,43.8
999800047662SR,60
999800049810SR,0
999800024010CF,36
999800012598SR,60
999800025657SR,36
999800038483SR,24
999800006685SR,48
999800019593SR,42
999800025272SR,48
999800014956SR,60
999800020977SR,36
999800013163SR,60
999800004286SR,42
999800038031SR,60
999800047728SR,60
999800028662SR,42
999800029404SR,36
999800042042SR,60
999800014453SR,42
999800028988SR,60
999800036759SR,36
999800029364SR,42
999800003808CF,27.6
999800031172SR,42
999800001967SR,42
999800001412CF,40.2
999800019265SR,60
999800016346SR,42
999800036126SR,60
999800007581CF,55.8
999800043633CF,19.8
999800047593CF,55.8
999800008915CF,55.8
999800048807SR,60
999800025672SR,60
999800006433SR,60
999800027414SR,60
999800012441SR,42
999800003521SR,24
999800014585CF,31.8
999800042123SR,24
999800012168CF,55.8
999800038461CF,19.8
999800016361CF,31.8
999800034355SR,60
999800033787SR,60
999800003084SR,42
999800005591SR,60
999800022278SR,60
999800033340CF,55.8
999800001933CF,55.8
999800038844SR,60
999800018735SR,42
999800017540SR,24
999800043889SR,60
999800023355SR,60
999800035379SR,42
999800031815SR,60
999800018606CF,43.8
999800045346SR,42
999800034300CF,55.8
999800017121SR,60
999800037239SR,60
999800013304SR,42
999800036215CF,48
999800038341SR,36
999800024492SR,42
999800003045SR,60
999800029948SR,24
999800046478SR,42
999800021443SR,36
999800015496SR,24
999800015433SR,54
999800034117CF,48
999800043325CF,36
999800030210SR,36
999800013359SR,48
999800009344CF,36
999800025885SR,60
999800039167SR,60
999800001420SR,42
999800025070SR,30
999800029675SR,42
999800021272SR,42
999800036280SR,60
999800001402SR,60
999800027855SR,24
999800047914SR,36
999800041876SR,54
999800028359CF,19.8
999800019464CF,43.8
999800036273SR,24
999800046178CF,36
999800043927SR,60
999800029644SR,24
999800047016SR,42
999800042614SR,54
999800040263SR,42
999800000065SR,24
999800040496SR,60
999800047000SR,36
999800032918SR,60
999800037668SR,36
999800028053SR,42
999800019275SR,60
999800046435CF,55.8
999800030104SR,54
999800038142SR,42
999800037149CF,19.8
999800015006SR,54
999800023885SR,48
999800042795SR,24
999800027311SR,36
999800027743SR,36
999800046119CF,40.2
999800034652CF,36
999800012431SR,60
999800013145SR,42
999800001443SR,42
999800027306SR,60
999800010326CF,48
999800012092SR,42
999800022245CF,55.8
999800034425CF,55.8
999800039225SR,24
999800036679SR,60
999800001656SR,60
999800017757SR,42
999800034687SR,60
999800002048SR,18
999800012588SR,60
999800003444SR,36
999800002986CF,55.8
999800013608SR,60
999800019960CF,24
999800007981SR,48
999800049384SR,0
999800031735CF,55.8
999800037223SR,42
999800042399CF,39.6
999800034758SR,36
999800023119CF,55.8
999800030811CF,55.8
999800040059SR,54
999800003578SR,60
999800047712CF,52.2
999800047110SR,60
999800035876SR,42
999800026983CF,60
999800042813CF,31.8
999800044422CF,55.8
999800002694SR,60
999800010359SR,24
999800045102CF,19.8
999800043454SR,42
999800015976SR,36
999800001019SR,54
999800006832SR,36
999800030897SR,36
999800047115SR,54
999800010572SR,54
999800010052CF,55.8
999800040648CF,55.8
999800041106CF,55.8
999800022670CF,55.8
999800046444CF,60
999800012862SR,36
999800019761CF,55.8
999800011629CF,55.8
999800041026CF,55.8
999800017797SR,60
999800047607CF,48
999800004772CF,43.8
999800031743SR,54
999800043354CF,31.8
999800031104SR,54
999800034222SR,60
999800018516SR,54
999800027359SR,24
999800048427CF,55.8
999800030939SR,60
999800037799SR,42
999800046882CF,39.6
999800032074SR,54
999800017943SR,36
999800034790CF,55.8
999800013085SR,60
999800023787CF,39.6
999800017726CF,52.2
999800028226SR,42
999800017551CF,31.8
999800007727CF,55.8
999800004692SR,60
999800020095SR,60
999800040413SR,54
999800013464SR,36
999800041907SR,24
999800010534SR,36
999800001702SR,36
999800024509SR,54
999800041116SR,42
999800008543SR,60
999800002450SR,36
999800019587SR,36
999800039029CF,55.8
999800001936SR,60
999800008316SR,18
999800043734CF,36
999800032040SR,54
999800023680SR,42
999800016979SR,60
999800038905SR,42
999800038701SR,48
999800025028CF,55.8
999800048187SR,60
999800027721SR,60
999800037735SR,42
999800037751SR,54
999800006772CF,48
999800018789CF,48
999800007009SR,60
999800028170SR,24
999800027227CF,55.8
999800032474SR,60
999800020891CF,55.8
999800040423SR,60
999800037512SR,36
999800042617SR,42
999800032068SR,60
999800022731SR,42
999800030807SR,42
999800014600CF,48
999800039181SR,60
999800009340SR,42
999800010523CF,55.8
999800025954SR,60
999800009261SR,60
999800030781SR,36
999800010736SR,42
999800041069SR,60
999800025678SR,60
999800023769SR,24
999800041463SR,36
999800008192SR,54
999800030376SR,24
999800005225SR,42
999800048860SR,60
999800041897CF,48
999800001180CF,43.8
999800042421SR,54
999800035219SR,60
999800036044SR,60
999800043608CF,55.8
999800040655SR,42
999800039925SR,60
999800040570SR,48
999800041695SR,36
999800025299SR,42
999800034552CF,43.8
999800010153SR,60
999800013487SR,24
999800001433SR,36
999800026758SR,60
999800035775CF,24
999800000007SR,42
999800025921SR,60
999800030890SR,60
999800014168SR,60
999800048108SR,42
999800028531SR,54
999800014687SR,24
999800035318CF,39.6
999800004414CF,52.2
999800021972SR,42
999800042579SR,36
999800028380CF,55.8
999800004099SR,60
999800025507CF,48
999800005086SR,60
999800033509SR,60
999800025938CF,55.8
999800003488SR,24
999800008495SR,60
999800019837SR,36
999800003185SR,60
999800011392SR,54
999800001444SR,60
999800009168SR,48
999800048824SR,60
999800032985SR,60
999800035811SR,24
999800013320SR,60
999800031900CF,43.8
999800010961SR,42
999800020774SR,60
999800039559CF,40.2
999800005451SR,36
999800034078CF,55.8
999800015268SR,60
999800030411SR,60
999800033552SR,18
999800044598SR,60
999800048636CF,48
999800018024SR,60
999800025803CF,55.8
999800004955CF,43.8
999800045385SR,60
999800003861CF,39.6
999800048515SR,60
999800039713SR,54
999800018600SR,42
999800024267CF,48
999800005311CF,55.8
999800001177CF,55.8
999800047008SR,54
999800045553SR,24
999800044072SR,60
999800033178CF,55.8
999800020068SR,42
999800013856CF,55.8
999800017706CF,55.8
999800009513SR,60
999800023051SR,54
999800046549SR,42
999800016049SR,60
999800038972SR,36
999800047767SR,60
999800038181SR,60
999800014040SR,42
999800008537SR,54
999800024883SR,60
999800018796CF,55.8
999800026314SR,42
999800034014SR,54
999800006287SR,42
999800026918SR,24
999800009751CF,52.2
999800024602SR,42
999800015217SR,30
999800004600SR,24
999800039850SR,60
999800032281CF,36
999800039471SR,18
999800030180SR,54
999800043589SR,54
999800036825SR,60
999800040590SR,36
999800021032SR,60
999800034382SR,60
999800018003SR,54
999800001217SR,60
999800041229CF,43.8
999800011376SR,60
999800048755CF,31.8
999800000348CF,39.6
999800006485CF,55.8
999800047050CF,36
999800019162CF,60
999800029046CF,31.8
999800031448SR,60
999800006748CF,55.8
999800035561CF,55.8
999800046864CF,55.8
999800005174CF,55.8
999800017889SR,48
999800038745SR,36
999800022455SR,36
999800035417CF,55.8
999800022259SR,60
999800012659SR,60
999800015075SR,24
999800007874SR,60
999800021536CF,36
999800036352SR,60
999800032675SR,24
999800004039CF,43.8
999800037978SR,36
999800013974SR,60
999800041498SR,54
999800029503SR,60
999800042232SR,24
999800011201SR,48
999800022813SR,42
999800014886SR,60
999800004667SR,42
999800045002CF,31.8
999800035542SR,60
999800046272CF,39.6
999800031865SR,36
999800025613SR,54
999800026481SR,42
999800003601SR,60
999800005340SR,30
999800011525SR,24
999800014853SR,36
999800010119SR,36
999800019944SR,60
999800032710SR,60
999800038852CF,55.8
999800023023SR,54
999800025599SR,24
999800016713SR,60
999800013124SR,24
999800005611SR,54
999800014760SR,60
999800034175SR,36
999800031130SR,42
999800045051SR,60
999800006230SR,24
999800013136SR,36
999800045795SR,36
999800038603SR,18
999800006086SR,42
999800023540CF,36
999800031812SR,60
999800004946SR,36
999800022482CF,55.8
999800026219SR,60
999800026400CF,36
999800002914SR,54
999800019015SR,60
999800007752SR,60
999800028280SR,60
999800007777SR,48
999800006578CF,55.8
999800017248SR,24
999800025650CF,43.8
999800044143SR,60
999800003325SR,60
999800026687SR,54
999800021437SR,42
999800046053SR,54
999800048775CF,55.8
999800039050SR,36
999800001539SR,24
999800047214SR,42
999800022540SR,24
999800007646CF,55.8
999800005150SR,60
999800043299SR,60
999800048741SR,24
999800008461CF,43.8
999800047246SR,24
999800016737SR,60
999800048570SR,42
999800031171SR,36
999800000462CF,39.6
999800018630CF,52.2
999800017424SR,30
999800040157SR,42.2353
999800014642SR,54
999800042256CF,52.2
999800032664SR,36
999800043693SR,60
999800017312SR,18
999800003738CF,48
999800026206SR,60
999800033662SR,24
999800016759CF,43.8
999800046073SR,60
999800011171SR,60
999800033673SR,54
999800019407SR,60
999800040888SR,42
999800042003SR,42
999800010437SR,36
999800047347CF,31.8
999800013130SR,42
999800041743CF,55.8
999800036684SR,42
999800008013SR,54
999800031561SR,54
999800023268CF,24
999800032663SR,36
999800041013SR,60
999800013314CF,55.8
999800042943CF,43.8
999800048160SR,36
999800007501SR,30
999800031986SR,60
999800031695CF,55.8
999800002420SR,24
999800002457SR,60
999800048590SR,42
999800030401SR,54
999800029628SR,24
999800021869SR,60
999800008869SR,24
999800020897SR,42
999800037858SR,54
999800001562SR,54
999800037203SR,42
999800026215CF,39.6
999800015766SR,36
999800003264CF,55.8
999800030705CF,43.8
999800033461SR,60
999800038231SR,54
999800030450CF,31.8
999800030895CF,55.8
999800017646SR,42
999800029299SR,42
999800047601SR,42
999800034905SR,24
999800007223SR,42
999800023250SR,24
999800002880SR,36
999800018956SR,42
999800025909SR,36
999800012000CF,60
999800048946SR,54
999800001561SR,60
999800048534CF,60
999800039038CF,31.8
999800006171CF,31.8
999800045759CF,36
999800017780SR,42
999800044717SR,36
999800033143CF,27.6
999800011824CF,43.8
999800000820SR,60
999800030219SR,60
999800022148SR,60
999800027579SR,24
999800044646SR,60
999800030900SR,24
999800031596SR,42
999800007218SR,42
999800031443CF,19.8
999800010763CF,27.6
999800034385CF,48
999800039438SR,42
999800015262SR,60
999800037920SR,54
999800040321CF,40.2
999800033863SR,60
999800035843CF,36
999800030862CF,36
999800018321SR,42
999800038400SR,24
999800026593SR,60
999800004965SR,42
999800036528SR,54
999800010924SR,60
999800021700SR,24
999800043670CF,39.6
999800045100SR,54
999800039902CF,43.8
999800007871CF,52.2
999800046131SR,60
999800046643CF,39.6
999800014532SR,54
999800003014SR,60
999800030419SR,54
999800044546SR,60
999800036163SR,60
999800044654SR,60
999800009099SR,54
999800014124SR,60
999800010724SR,24
999800035097CF,36
999800046459SR,24
999800039183SR,36
999800016032CF,55.8
999800002264SR,42
999800019200SR,24
999800001153SR,60
999800027382SR,42
999800031215CF,55.8
999800011423CF,48
999800018706SR,60
999800017980SR,60
999800000120SR,42
999800005480SR,42
999800022875SR,60
999800029269CF,36
999800031329SR,18
999800032165CF,55.8
999800016612CF,19.8
999800047438SR,54
999800020195SR,24
999800042128SR,42
999800045369SR,54
999800041591SR,54
999800015439CF,24
999800018343CF,48
999800029807SR,42
999800030629CF,43.8
999800014606SR,60
999800034755SR,60
999800008649SR,18
999800037341SR,42
999800011265SR,24
999800027221SR,48
999800045847CF,43.8
999800006615CF,43.8
999800022257CF,52.2
999800035657SR,60
999800002045SR,60
999800016539SR,60
999800047568SR,24
999800041130CF,36
999800026951SR,60
999800013263SR,60
999800036394SR,60
999800049016CF,55.8
999800043774CF,43.8
999800028616SR,60
999800045710SR,60
999800043775SR,60
999800000236SR,60
999800021255SR,54
999800001077SR,42
999800005459CF,39.6
999800041670SR,36
999800032481SR,60
999800013561SR,42
999800032517SR,24
999800036691SR,42
999800037633CF,31.8
999800039603CF,32.4
999800029848CF,55.8
999800023916SR,60
999800043255SR,36
999800005515SR,60
999800005757SR,60
999800013675SR,42
999800006226SR,42
999800039421SR,54
999800023477SR,42
999800037090SR,42
999800016155SR,60
999800023291SR,24
999800032426SR,60
999800009010SR,60
999800003039CF,40.2
999800022077CF,36
999800032726SR,60
999800028639SR,30
999800040361CF,28.2
999800006734CF,36
999800011157SR,60
999800026125SR,60
999800006744SR,54
999800042079CF,39.6
999800010849SR,54
999800010345SR,24
999800042989CF,43.8
999800039872CF,43.8
999800042574SR,60
999800019618CF,40.2
999800003622SR,54
999800029086SR,60
999800029975CF,39.6
999800033854CF,36
999800046008SR,42
999800032862CF,43.8
999800015124SR,30
999800003319SR,42
999800009795SR,36
999800028168SR,60
999800013278CF,55.8
999800026600SR,24
999800016645SR,60
999800014953SR,60
999800002011SR,42
999800006419SR,36
999800020490CF,55.8
999800012702SR,60
999800009769SR,60
999800012755CF,36
999800048743CF,48
999800039394SR,36
999800020960SR,60
999800042145SR,36
999800021161SR,60
999800011887SR,24
999800046426SR,54
999800037313SR,60
999800028970SR,36
999800000427SR,42
999800001321SR,60
999800029553SR,54
999800022803SR,60
999800015732SR,42
999800035962SR,60
999800030918SR,36
999800002990SR,36
999800006054SR,48
999800014104SR,60
999800006066SR,36
999800022625SR,36
999800012870SR,60
999800021228CF,55.8
999800030642CF,55.8
999800041015SR,60
999800006299SR,42
999800028400SR,60
999800011020CF,36
999800018496SR,60
999800048207SR,42
999800010885CF,36
999800014170CF,48
999800026381CF,36
999800047903SR,42
999800005488SR,54
999800023951CF,36
999800031829CF,36
999800027779SR,42
999800000208SR,54
999800007776SR,60
999800012733SR,54
999800032120SR,60
999800020855SR,42
999800037155SR,60
999800042715SR,60
999800020750SR,54
999800013254SR,60
999800009631SR,42
999800006908SR,60
999800021513SR,42
999800012057SR,42
999800034871SR,48
999800041251SR,54
999800041445SR,60
999800034445SR,36
999800044304CF,36
999800021389SR,60
999800044948CF,55.8
999800001567SR,36
999800001593SR,60
999800042688SR,60
999800021432CF,52.2
999800018542CF,31.8
999800031975CF,31.8
999800016296SR,42
999800012612SR,24
999800020090SR,36
999800029388SR,48
999800025096SR,42
999800035526SR,60
999800019612SR,36
999800007376SR,60
999800041867SR,60
999800012133SR,42
999800021970SR,42
999800014651SR,60
999800016872SR,42
999800021602SR,36
999800029776SR,36
999800030738CF,19.8
999800026384SR,24
999800036055SR,36
999800030773SR,42
999800047050SR,42
999800001810SR,60
999800022117SR,42
999800039103SR,42
999800017148CF,24
999800033077SR,42
999800018171SR,42
999800038075SR,42
999800040076CF,39.6
999800030271CF,48
999800035117SR,60
999800031209SR,18
999800022574SR,24
999800022268SR,24
999800022194SR,36
999800031894SR,60
999800042152SR,24
999800030660SR,24
999800003930SR,60
999800027495SR,24
999800030023SR,60
999800000304CF,55.8
999800012223CF,36
999800020045CF,48
999800008588SR,60
999800045718SR,24
999800020464CF,60
999800009553SR,42
999800024033SR,54
999800041222SR,30
999800002314SR,42
999800006682SR,48
999800020316CF,43.8
999800013538SR,60
999800045862SR,42
999800021551SR,60
999800034919CF,19.8
