买方客户,得分
999800027466SR,36
999800021578SR,54
999800014292SR,60
999800036437SR,42
999800010671SR,18
999800021084SR,54
999800034848SR,60
999800045899SR,42
999800029363SR,60
999800043421SR,42
999800013564SR,24
999800042104SR,24
999800021401SR,60
999800044950SR,24
999800007995CF,52.2
999800001431SR,60
999800033784SR,60
999800019876SR,48
999800014785SR,60
999800047790SR,60
999800043622CF,43.8
999800037749SR,42
999800028740SR,36
999800043011SR,60
999800034436SR,60
999800043873SR,60
999800012318SR,60
999800020601SR,60
999800026643SR,54
999800036592SR,60
999800036965SR,42
999800009122SR,60
999800022989SR,60
999800031675SR,54
999800046664SR,60
999800023879SR,54
999800036766SR,60
999800041978SR,60
999800001333SR,60
999800034254SR,48
999800005662CF,19.8
999800020228SR,60
999800008578SR,60
999800016730SR,60
999800019487SR,54
999800043040SR,60
999800021218SR,60
999800015566SR,24
999800041327SR,42
999800022011SR,48
999800029782SR,60
999800046860SR,54
999800023068SR,60
999800000689SR,60
999800041715SR,36
999800010719SR,60
999800045791SR,54
999800039116SR,60
999800008994SR,60
999800017563SR,60
999800004207SR,42
999800036486SR,42
999800001124SR,54
999800024164SR,42
999800016171SR,60
999800040988SR,60
999800047497SR,60
999800033970SR,36
999800048925CF,52.2
999800038022SR,60
999800033254SR,60
999800035681SR,60
999800040498SR,42
999800002533SR,36
999800023799SR,42
999800048842SR,42
999800001836SR,54
999800027875SR,60
999800036301SR,42
999800030648SR,60
999800028929CF,19.8
999800017124SR,48
999800032464SR,60
999800020627SR,54
999800009873SR,18
999800025747SR,42
999800047552SR,60
999800028242SR,54
999800034201SR,60
999800016497SR,60
999800040031SR,60
999800031945SR,54
999800042921SR,60
999800034634SR,42
999800033742SR,60
999800042257CF,48
999800031580SR,36
999800018852SR,54
999800011316SR,42
999800015954SR,42
999800045118SR,60
999800007685SR,60
999800003188SR,24
999800046665SR,24
999800032327SR,60
999800031465SR,60
999800004619SR,24
999800020832SR,42
999800027649SR,60
999800037243SR,54
999800001651SR,36
999800025830SR,24
999800009720SR,42
999800042980SR,60
999800029277SR,60
999800009175SR,42
999800001516SR,60
999800021876SR,42
999800043428SR,42
999800016681SR,42
999800007175SR,42
999800041228SR,42
999800048568SR,60
999800003936SR,60
999800029211SR,54
999800046036SR,42
999800043038SR,60
999800047555SR,60
999800038526SR,42
999800026943SR,54
999800008829SR,60
999800045919SR,60
999800030422SR,42
999800032718SR,60
999800014050SR,60
999800012491SR,60
999800042897SR,60
999800024014SR,60
999800008723SR,60
999800033747SR,60
999800040569SR,60
999800039968SR,60
999800025564SR,60
999800019146SR,60
999800009831SR,54
999800018713SR,42
999800039151SR,60
999800034874SR,54
999800043240SR,60
999800019115SR,42
999800030842SR,60
999800019900SR,60
999800020176SR,48
999800042494SR,60
999800038796SR,42
999800021360SR,54
999800013366CF,48
999800034580SR,60
999800016809SR,60
999800006961SR,60
999800034971SR,60
999800027368SR,60
999800017987SR,42
999800042463SR,60
999800021790SR,60
999800020472SR,60
999800041654SR,42
999800017042SR,42
999800042248SR,48
999800039634SR,60
999800015744SR,36
999800025590SR,24
999800046176SR,60
999800036997SR,36
999800040200SR,60
999800038721SR,60
999800046817SR,60
999800029378SR,18
999800025221SR,60
999800018312SR,24
999800027599SR,60
999800003694SR,60
999800026541SR,60
999800009817SR,60
999800040601SR,60
999800028907SR,42
999800006675SR,60
999800030146SR,60
999800035566SR,54
999800003859SR,36
999800046941SR,60
999800025922CF,31.8
999800038819SR,36
999800004119SR,60
999800017564SR,60
999800000030SR,24
999800009345SR,60
